Class,Country,Time,Link,Road Name,Road Short Name
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chicago_and_North_Western_Transportation_Company,Chicago and North Western Transportation Company,C&NW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chesapeake_and_Ohio_Railway,Chesapeake & Ohio Railway,C&O
1,USA,pre–1956,https://en.wikipedia.org/wiki/Chesapeake_and_Ohio_Railway_of_Indiana,Chesapeake and Ohio Railway of Indiana,C&OIN
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Colorado_and_Southern_Railway,Colorado and Southern Railway,C&S
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Colorado_and_Wyoming_Railway,Colorado and Wyoming Railway,C&W
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Charleston_and_Western_Carolina_Railway,Charleston and Western Carolina Railway,C&WC
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cleveland,_Akron_and_Columbus_Railway","Cleveland, Akron and Columbus Railway",CA&C
,,,,,CACX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Carolina_and_Northwestern_Railway,Carolina and Northwestern Railway,CAR&NW
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Chicago,_Burlington_and_Quincy_Railroad","Chicago, Burlington and Quincy Railroad",CB&Q
2,USA,1956-present,https://en.wikipedia.org/wiki/Chicago_Central,Chicago Central and Pacific Railroad,CC
1,USA,pre–1956,https://en.wikipedia.org/wiki/Cripple_Creek_and_Colorado_Springs_Railroad,Cripple Creek and Colorado Springs Railroad,CC&CS
,,,,Central City & Blackhawk Railroad,CCBX
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cleveland,_Cincinnati,_Chicago_and_St._Louis_Railway","Cleveland, Cincinnati, Chicago and St. Louis Railway",CCC&STL
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Clinchfield_Railroad,"Carolina, Clinchfield and Ohio Railway",CCO
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Detroit_and_Canada_Grand_Trunk_Junction_Railroad","Chicago, Detroit and Canada Grand Trunk Junction Railroad",CD&C
,,,,,CDLX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Central_of_Georgia_Railway,Central of Georgia Railway,CG
,,,,Chicago Great Western Railway,CG&W
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Chicago_Great_Western_Railway,Chicago Great Western Railway,CGW
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cincinnati,_Hamilton_and_Dayton_Railway_(1846%E2%80%931917)","Cincinnati, Hamilton and Dayton Railway (1846–1917)",CH&D
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Indiana_and_Southern_Railroad","Chicago, Indiana and Southern Railroad",CI&S
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cincinnati,_Indianapolis_and_Western_Railroad","Cincinnati, Indianapolis and Western Railroad",CI&W
1,USA,pre–1956,https://en.wikipedia.org/wiki/Cincinnati_Northern_Railroad_(1894%E2%80%931938),Cincinnati Northern Railroad (1894–1938),CINN
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Cincinnati,_Lebanon_and_Northern_Railway","Cincinnati, Lebanon and Northern Railway",CL&N
1,USA,pre–1956,https://en.wikipedia.org/wiki/Colorado_Midland_Railway,Colorado Midland Railway,CM
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Chicago,_Milwaukee_and_Puget_Sound_Railway","Chicago, Milwaukee and Puget Sound Railway",CM&PS
2,USA,1956-present,"https://en.wikipedia.org/wiki/Chicago,_Missouri_and_Western_Railway","Chicago, Missouri and Western Railway",CMNW
2,USA,Current,https://en.wikipedia.org/wiki/Central_Maine_and_Quebec_Railway,Central Maine & Quebec Railway,CMQ
,,,,,CMSF
1,USA,Former (1956–present),"https://en.wikipedia.org/wiki/Chicago,_Milwaukee,_St._Paul_and_Pacific_Railroad","Chicago, Milwaukee, St. Paul and Pacific Railroad",CMStP&P
,,,,,CMWX
1,CAN,Current,https://en.wikipedia.org/wiki/Canadian_National_Railway,Canadian National Railway,CN
